Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6,Class,Health,Mana,Speed,Physical_Protection,Magical_Protection
Arena,Anhur,2,5,15,,,,,,,Hunter,0.3928571428571429,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Sylvanus,2,6,5,,,,,,,Guardian,0.75,0.3857142857142857,0.5,0.8333333333333333,1.0
Joust,Cabrakan,0,6,8,,,,,,,Guardian,0.6071428571428571,0.41428571428571426,0.30000000000000004,0.8809523809523809,1.0
Joust,Awilix,7,6,5,,,,,,,Assassin,0.5,0.5285714285714286,0.5,0.40476190476190477,0.5
Joust,Awilix,2,5,10,,,,,,,Assassin,0.5,0.5285714285714286,0.5,0.40476190476190477,0.5
Arena,Tyr,4,8,15,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Arena,Loki,5,9,12,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Joust,Medusa,3,7,1,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Joust,Erlang_Shen,4,6,8,,,,,,,Warrior,0.5714285714285714,0.4714285714285714,0.7000000000000001,0.6904761904761905,0.75
Joust,Sun_Wukong,4,8,4,,,,,,,Warrior,0.5357142857142857,0.4285714285714286,0.5,0.7380952380952381,0.75
Joust,Ra,1,3,10,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Loki,0,9,3,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Arena,Loki,2,9,5,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Joust,Loki,2,8,2,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Arena,Loki,3,4,7,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Arena,Loki,7,11,6,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Arena,Loki,2,9,1,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Arena,Loki,10,5,15,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Joust,Tyr,1,6,6,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Ra,3,6,7,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Kukulkan,3,12,8,,,,,,,Mage,0.0,0.6,0.10000000000000003,0.40476190476190477,0.5
Joust,Loki,2,6,9,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Joust,Loki,1,7,1,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
Joust,Loki,1,7,2,,,,,,,Assassin,0.0,0.44285714285714284,0.7000000000000001,0.2619047619047619,0.5
